JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458354.094714629, A.D. 2018-Aug-23 14:16:23.3440,  3.822886825195415E+07, -1.019017330407227E+08, -3.657780043920703E+06,  3.255089937459391E+01,  1.218498281900238E+01, -1.698821925713512E+00,  3.632448506981704E+02,  1.088980666466475E+08,  8.197660949492526E-02,
2458354.344714629, A.D. 2018-Aug-23 20:16:23.3440,  3.893104559839576E+07, -1.016360966312020E+08, -3.694386615653150E+06,  3.246526251174639E+01,  1.241088093475537E+01, -1.690661979931528E+00,  3.632507014951836E+02,  1.088998206714654E+08,  8.043245784789478E-02,
2458354.594714629, A.D. 2018-Aug-24 02:16:23.3440,  3.963135641530009E+07, -1.013655873462661E+08, -3.730816060661361E+06,  3.237807326766772E+01,  1.263617322859598E+01, -1.682421368659373E+00,  3.632564408992856E+02,  1.089015413015286E+08,  7.888451482107678E-02,
2458354.844714629, A.D. 2018-Aug-24 08:16:23.3440,  4.032976721697687E+07, -1.010902183855118E+08, -3.767066640831873E+06,  3.228933588948464E+01,  1.286084916437882E+01, -1.674100487039873E+00,  3.632620686399563E+02,  1.089032284557372E+08,  7.733285395722389E-02,
2458355.094714629, A.D. 2018-Aug-24 14:16:23.3440,  4.102624461022089E+07, -1.008100031757955E+08, -3.803136626624718E+06,  3.219905469346794E+01,  1.308489823580879E+01, -1.665699733767445E+00,  3.632675844519802E+02,  1.089048820545817E+08,  7.577754895841569E-02,
2458355.344714629, A.D. 2018-Aug-24 20:16:23.3440,  4.172075529580328E+07, -1.005249553705830E+08, -3.839024297149934E+06,  3.210723406482634E+01,  1.330830996686562E+01, -1.657219511070140E+00,  3.632729880754578E+02,  1.089065020201462E+08,  7.421867368270049E-02,
2458355.594714629, A.D. 2018-Aug-25 02:16:23.3440,  4.241326606995839E+07, -1.002350888492914E+08, -3.874727940243602E+06,  3.201387845749832E+01,  1.353107391222698E+01, -1.648660224691573E+00,  3.632782792558165E+02,  1.089080882761116E+08,  7.265630214080324E-02,
2458355.844714629, A.D. 2018-Aug-25 08:16:23.3440,  4.310374382586598E+07, -9.994041771662159E+07, -3.910245852543794E+06,  3.191899239394166E+01,  1.375317965769018E+01, -1.640022283872738E+00,  3.632834577438218E+02,  1.089096407477595E+08,  7.109050849273149E-02,
2458356.094714629, A.D. 2018-Aug-25 14:16:23.3440,  4.379215555512898E+07, -9.964095630188128E+07, -3.945576339565702E+06,  3.182258046492084E+01,  1.397461682059260E+01, -1.631306101333754E+00,  3.632885232955871E+02,  1.089111593619743E+08,  6.952136704436469E-02,
2458356.344714629, A.D. 2018-Aug-25 20:16:23.3440,  4.447846834924668E+07, -9.933671915829925E+07, -3.980717715776704E+06,  3.172464732929228E+01,  1.419537505023052E+01, -1.622512093255453E+00,  3.632934756725855E+02,  1.089126440472476E+08,  6.794895224411224E-02,
2458356.594714629, A.D. 2018-Aug-26 02:16:23.3440,  4.516264940108307E+07, -9.902772106233063E+07, -4.015668304670930E+06,  3.162519771378749E+01,  1.441544402827674E+01, -1.613640679260909E+00,  3.632983146416584E+02,  1.089140947336801E+08,  6.637333867946134E-02,
2458356.844714629, A.D. 2018-Aug-26 08:16:23.3440,  4.584466600633060E+07, -9.871397701295301E+07, -4.050426438843302E+06,  3.152423641279397E+01,  1.463481346919665E+01, -1.604692282396835E+00,  3.633030399750264E+02,  1.089155113529855E+08,  6.479460107356598E-02,
