JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460141.791666667, A.D. 2023-Jul-16 07:00:00.0000, -4.648913081129631E+04,  3.967866724420792E+05,  3.206267290259255E+04, -9.801361011470325E-01, -8.806845983275846E-02,  3.621436075931238E-02,
2460141.812500000, A.D. 2023-Jul-16 07:30:00.0000, -4.825292278392427E+04,  3.966241618943845E+05,  3.212753103712932E+04, -9.796294676069337E-01, -9.249819904469604E-02,  3.585013434307419E-02,
2460141.833333333, A.D. 2023-Jul-16 08:00:00.0000, -5.001578505909118E+04,  3.964536811681505E+05,  3.219173303265203E+04, -9.791031080926036E-01, -9.692420054202004E-02,  3.548531863420521E-02,
2460141.854166667, A.D. 2023-Jul-16 08:30:00.0000, -5.177768215239907E+04,  3.962752370626182E+05,  3.225527783504309E+04, -9.785570474898977E-01, -1.013463850701785E-01,  3.511992097628300E-02,
2460141.875000000, A.D. 2023-Jul-16 09:00:00.0000, -5.353857862449397E+04,  3.960888365195334E+05,  3.231816440340300E+04, -9.779913109616604E-01, -1.057646735447975E-01,  3.475394871226756E-02,
2460141.895833333, A.D. 2023-Jul-16 09:30:00.0000, -5.529843908156356E+04,  3.958944866228405E+05,  3.238039171004892E+04, -9.774059239467461E-01, -1.101789870523352E-01,  3.438740918440311E-02,
2460141.916666667, A.D. 2023-Jul-16 10:00:00.0000, -5.705722817583309E+04,  3.956921945983739E+05,  3.244195874051342E+04, -9.768009121590396E-01, -1.145892468507333E-01,  3.402030973411978E-02,
2460141.937500000, A.D. 2023-Jul-16 10:30:00.0000, -5.881491060605971E+04,  3.954819678135488E+05,  3.250286449354270E+04, -9.761763015864751E-01, -1.189953743700636E-01,  3.365265770193596E-02,
2460141.958333333, A.D. 2023-Jul-16 11:00:00.0000, -6.057145111802466E+04,  3.952638137770509E+05,  3.256310798109497E+04, -9.755321184900534E-01, -1.233972912131708E-01,  3.328446042736054E-02,
2460141.979166667, A.D. 2023-Jul-16 11:30:00.0000, -6.232681450502402E+04,  3.950377401385248E+05,  3.262268822833881E+04, -9.748683894028587E-01, -1.277949191563121E-01,  3.291572524879571E-02,
