            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458361.844714629, A.D. 2018-Aug-31 08:16:23.3440,  1.389418750764817E+08, -5.916236238162944E+07,  7.613587492790073E+03,  1.119062634153942E+01,  2.729192311823523E+01, -4.443092091371170E-03,  5.037262919383852E+02,  1.510133432194341E+08, -3.960449520001152E-01,
2458362.094714629, A.D. 2018-Aug-31 14:16:23.3440,  1.391823490658318E+08, -5.857232250091904E+07,  7.516855157468468E+03,  1.107544388661308E+01,  2.734132454190839E+01, -4.513650798319446E-03,  5.036977251119662E+02,  1.510047791003246E+08, -3.969319108368977E-01,
2458362.344714629, A.D. 2018-Aug-31 20:16:23.3440,  1.394203325282562E+08, -5.798122039174949E+07,  7.418596546795219E+03,  1.096002196981084E+01,  2.739027730466330E+01, -4.584380341510652E-03,  5.036690937446670E+02,  1.509961956323461E+08, -3.978367216663588E-01,
2458362.594714629, A.D. 2018-Sep-01 02:16:23.3440,  1.396558202896756E+08, -5.738906576509733E+07,  7.318810166224837E+03,  1.084436043507936E+01,  2.743877954396187E+01, -4.655076420476689E-03,  5.036403965056456E+02,  1.509875924165221E+08, -3.987606186079968E-01,
2458362.844714629, A.D. 2018-Sep-01 08:16:23.3440,  1.398888071727657E+08, -5.679586837347298E+07,  7.217498998828232E+03,  1.072845913904274E+01,  2.748682927593280E+01, -4.725528782961064E-03,  5.036116319760959E+02,  1.509789690275052E+08, -3.997048085092033E-01,
2458363.094714629, A.D. 2018-Sep-01 14:16:23.3440,  1.401192879973005E+08, -5.620163801358604E+07,  7.114670630853623E+03,  1.061231795754283E+01,  2.753442439122133E+01, -4.795521515884360E-03,  5.035827986513916E+02,  1.509703250142198E+08, -4.006704658605342E-01,
2458363.344714629, A.D. 2018-Sep-01 20:16:23.3440,  1.403472575806447E+08, -5.560638452910104E+07,  7.010337370347232E+03,  1.049593679290689E+01,  2.758156265082436E+01, -4.864833390305634E-03,  5.035538949436196E+02,  1.509616599006215E+08, -4.016587270900510E-01,
2458363.594714629, A.D. 2018-Sep-02 02:16:23.3440,  1.405727107384108E+08, -5.501011781348214E+07,  6.904516357682645E+03,  1.037931558203844E+01,  2.762824168198880E+01, -4.933238271664919E-03,  5.035249191845480E+02,  1.509529731865870E+08, -4.026706841705165E-01,
2458363.844714629, A.D. 2018-Sep-02 08:16:23.3440,  1.407956422853025E+08, -5.441284781292512E+07,  6.797229666411877E+03,  1.026245430542430E+01,  2.767445897427522E+01, -5.000505607320349E-03,  5.034958696290825E+02,  1.509442643489502E+08, -4.037073774807763E-01,
2458364.094714629, A.D. 2018-Sep-02 14:16:23.3440,  1.410160470361617E+08, -5.381458452937140E+07,  6.688504392635077E+03,  1.014535299714423E+01,  2.772021187591527E+01, -5.066401004594212E-03,  5.034667444592634E+02,  1.509355328427005E+08, -4.047697878741893E-01,
